record_id,phase,dataset,model,round,status,prompt_id,prompt_path,input_path,output_path,metrics_path,primary_metric,metric_value,valid_outputs,notes
tune_grefcoco_qwen38_r01,tune,gRefCOCO,Qwen3.8,1,done,grefcoco_qwen_round01,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_01.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_01.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_01_metrics.json,F1_score,0.7533333333333333,300,vllm_http_gpus_0_1
tune_grefcoco_qwen38_r02,tune,gRefCOCO,Qwen3.8,2,done,grefcoco_qwen_round02,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_02.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_02.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_02_metrics.json,F1_score,0.8033333333333333,300,vllm_http_gpus_0_1
tune_grefcoco_qwen38_r03,tune,gRefCOCO,Qwen3.8,3,done,grefcoco_qwen_round03,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_03.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_03.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_03_metrics.json,F1_score,0.8133333333333334,300,vllm_http_gpus_0_1
tune_grefcoco_qwen38_r04,tune,gRefCOCO,Qwen3.8,4,done,grefcoco_qwen_round04,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_04.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_04.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_04_metrics.json,F1_score,0.81,300,vllm_http_gpus_0_1
tune_grefcoco_qwen38_r05,tune,gRefCOCO,Qwen3.8,5,done,grefcoco_qwen_round05,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_05.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_05.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_05_metrics.json,F1_score,0.8233333333333334,300,vllm_http_gpus_0_1
tune_grefcoco_qwen38_r06,tune,gRefCOCO,Qwen3.8,6,done,grefcoco_qwen_round06,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_06.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_06.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_06_metrics.json,F1_score,0.8166666666666667,300,vllm_http_gpus_0_1
tune_grefcoco_qwen38_r07,tune,gRefCOCO,Qwen3.8,7,done,grefcoco_qwen_round07,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_07.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_07.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_07_metrics.json,F1_score,0.8233333333333334,300,vllm_http_gpus_0_1
tune_grefcoco_qwen38_r08,tune,gRefCOCO,Qwen3.8,8,done,grefcoco_qwen_round08,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_08.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_08.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_08_metrics.json,F1_score,0.8166666666666667,300,vllm_http_gpus_0_1
tune_grefcoco_qwen38_r09,tune,gRefCOCO,Qwen3.8,9,done,grefcoco_qwen_round09,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_09.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_09.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_09_metrics.json,F1_score,0.8166666666666667,300,vllm_http_gpus_0_1
tune_grefcoco_qwen38_r10,tune,gRefCOCO,Qwen3.8,10,done,grefcoco_qwen_round10,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/prompts/gRefCOCO/Qwen3.8/round_10.txt,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/inputs/gRefCOCO/train_tune300_inputs.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/model_outputs/gRefCOCO/Qwen3.8/round_10.jsonl,/mnt/HithinkOmniSSD/user_workspace/caisihang/research/ICASSP_ModelCollaboration/outputs/experiments/20260902_four_dataset_prompt_optimization_70plus8/audits/gRefCOCO/Qwen3.8/round_10_metrics.json,F1_score,0.82,300,vllm_http_gpus_0_1
