pair,method,nominal_validation_budget,actual_test_call_fraction,test_metric,estimated_gflops_per_input,estimated_time_ms_per_input
grefcoco|instancevg|MiniCPM,learned,0.0,0.0,0.6695119530385957,11.144851456,59.26099861426337
grefcoco|instancevg|MiniCPM,learned,0.05,0.09125712503190313,0.6796075206306894,1189.835357942668,393.91666460326627
grefcoco|instancevg|MiniCPM,learned,0.1,0.14868275529591923,0.681535887474123,1931.5532807628988,604.5063860537731
grefcoco|instancevg|MiniCPM,learned,0.25,0.3278223633837166,0.6640104358676233,4245.346919506304,1261.4423220551812
grefcoco|instancevg|MiniCPM,learned,0.5,0.5738876442730341,0.6134475228993562,7423.56243373403,2163.806279105081
grefcoco|instancevg|MiniCPM,learned,0.75,0.7862348637381958,0.5578651844709752,10166.270486118172,2942.5202713131775
grefcoco|instancevg|MiniCPM,learned,1.0,1.0,0.5000708958398321,12927.292561287999,3726.434009729928
grefcoco|instancevg|MiniCPM,confidence,0.0,0.0,0.6695119530385957,7.502680064,46.08042127620138
grefcoco|instancevg|MiniCPM,confidence,0.05,0.012534384482318578,0.6662791027422511,169.39864148945287,92.04617776070705
grefcoco|instancevg|MiniCPM,confidence,0.1,0.0345971698380739,0.6645208859144145,454.3648360347069,172.9542287673709
grefcoco|instancevg|MiniCPM,confidence,0.25,0.12477667810452883,0.6596999688058305,1619.1366852042547,503.6580876377964
grefcoco|instancevg|MiniCPM,confidence,0.5,0.2345234381646485,0.6527521765022829,3036.6420488162507,906.1184441876538
grefcoco|instancevg|MiniCPM,confidence,0.75,0.7478093185491875,0.567762243711539,9666.318297234116,2788.426571720579
grefcoco|instancevg|MiniCPM,confidence,1.0,1.0,0.5000708958398321,12923.650389896,3713.253432391866
construction|yolo26x|Qwen3.8,learned,0.0,0.0,0.18129624718318377,139.16228659200002,71.56936161300109
construction|yolo26x|Qwen3.8,learned,0.05,0.045938748335552594,0.19531128485766117,4589.465326580834,522.8016087608005
construction|yolo26x|Qwen3.8,learned,0.1,0.09920106524633822,0.20211074868345033,9749.236967147599,1045.9694315408578
construction|yolo26x|Qwen3.8,learned,0.25,0.25432756324900135,0.2504846177578749,24777.071870298303,2569.695715387775
construction|yolo26x|Qwen3.8,learned,0.5,0.4876830892143808,0.29875800068449215,47383.321370531434,4861.824738942901
construction|yolo26x|Qwen3.8,learned,0.75,0.7709720372836218,0.28730364578560735,74826.85678379593,7644.4235963543315
construction|yolo26x|Qwen3.8,learned,1.0,1.0,0.27001009067886245,97013.87483823301,9894.045234308578
construction|yolo26x|Qwen3.8,confidence,0.0,0.0,0.18129624718318377,135.97853184000002,46.30809425361804
construction|yolo26x|Qwen3.8,confidence,0.05,0.0,0.18129624718318377,135.97853184000002,46.30809425361804
construction|yolo26x|Qwen3.8,confidence,0.1,0.0,0.18129624718318377,135.97853184000002,46.30809425361804
construction|yolo26x|Qwen3.8,confidence,0.25,0.24800266311584554,0.18026802885144627,24161.165233228996,2482.3082690732604
construction|yolo26x|Qwen3.8,confidence,0.5,0.5013315579227696,0.18015785955296285,48702.32909867467,4970.625226170908
construction|yolo26x|Qwen3.8,confidence,0.75,0.7486684420772304,0.22103445955201576,72663.01865455658,7400.0858032057995
construction|yolo26x|Qwen3.8,confidence,1.0,1.0,0.27001009067886245,97010.691083481,9868.783966949195
